name,account_name,group,password
pujolal01,pujolal01,laa,*HcOhqXr$iaDg
troutmi01,troutmi01,laa,lTva45DQNQ$t7
keuchda01,keuchda01,hou,UCoR&TcZJFQ40
altuvjo01,altuvjo01,hou,PU6muXdl^3kE0
vogtst01,vogtst01,oak,%X5G#EF83Y^o!
donaljo02,donaljo02,tor,494MJpL7!2@1g
martiru01,martiru01,tor,$r!E1f*uxK9xF
kipnija01,kipnija01,cle,wLHps#TJDlR7G
cruzne02,cruzne02,sea,DbC9%8uSvqJLr
hernafe02,hernafe02,sea,xU6yzBE#RpdMN
jonesad01,jonesad01,bal,a25eiu%d2QxBX
machama01,machama01,bal,7MxWO3knAtaI*
brittza01,brittza01,bal,GHi8NaUU@IZLV
fieldpr01,fieldpr01,tex,6$WkREtgbFuTw
archech01,archech01,tba,jQ5UKy6q094D#
holtbr01,holtbr01,bos,gWKM39qN6McO4
perezsa02,perezsa02,kca,nBW#TtyBwj%$j
escobal02,escobal02,kca,#agzg3bYaXAE&
cainlo01,cainlo01,kca,M9nLA#OcrLBOA
moustmi01,moustmi01,kca,1BqLT72G2Cliv
daviswa01,daviswa01,kca,!NnGebtkZS8Rp
priceda01,priceda01,det,!s&4A7N66xRFD
martijd02,martijd02,det,k1pkERlf9b0!4
iglesjo01,iglesjo01,det,wOwEYmq&%vkKL
doziebr01,doziebr01,min,7@9oIpdsR&Zt4
perkigl01,perkigl01,min,Wy4Am91u3$DEk
gardnbr01,gardnbr01,nya,Q@82S2#IIC30D
betande01,betande01,nya,!6G0SoLGF%Dq7
teixema01,teixema01,nya,Z2$CPQ^^kNUKv
rodrifr03,rodrifr03,mil,NF%9An^6KbT$%
braunry02,braunry02,mil,^ZkmWROvKOi$W
peraljh01,peraljh01,sln,D^RzEuiAd5D*M
molinya01,molinya01,sln,swIGNiuIW$d6x
rizzoan01,rizzoan01,chn,zLF0KG9kuOkpm
bryankr01,bryankr01,chn,Tv6qe$bqMbaT*
goldspa01,goldspa01,ari,lLC#WyU5dcUXC
polloaj01,polloaj01,ari,8t*VzcWwXpCfL
greinza01,greinza01,lan,5Naz&IDnLn4kZ
pederjo01,pederjo01,lan,C9F5&R1JVhKgm
gonzaad01,gonzaad01,lan,3R*GfocVni&KP
kershcl01,kershcl01,lan,eT2h2JgGvK*Br
grandya01,grandya01,lan,D%yQ1MbqBIbB*
poseybu01,poseybu01,sfg,s3jiRicW2bu0x
crawfbr01,crawfbr01,sfg,iF!nc$pcCtz71
panikjo01,panikjo01,sfg,Qr1z6FWC5SVCd
bumgama01,bumgama01,sfg,k6RT23P*XEPkm
degroja01,degroja01,nyn,Sxn1Gw*yPIzl2
harpebr03,harpebr03,was,p8W#Y9UcL5UZ%
uptonju01,uptonju01,sdn,wu@Yy5OkvdWJu
mccutan01,mccutan01,pit,n*vTbSFUluZH0
colege01,colege01,pit,qbDt$icbfEd83
melanma01,melanma01,pit,N*54%NYdi*oBF
frazito01,frazito01,cin,zSzz&77Zv$fnx
chapmar01,chapmar01,cin,1p2@$5xRj@Zno
lemahdj01,lemahdj01,col,%W#mC14#9LqGJ
arenano01,arenano01,col,IdNK!t3IGN6xX
tulowtr01,tulowtr01,col,tB8jLIcylUvIL
santihe01,santihe01,laa,inp#M#Jq!IVJ!
grayso01,grayso01,oak,y7*#ghDDvNf%$
bautijo02,bautijo02,tor,&^MAVM!tP6XMd
millesh01,millesh01,atl,!ABE9Yki1GQKk
martica04,martica04,sln,pb#Kxl7mvScXF
wachami01,wachami01,sln,lCO#IzzD#SgFJ
rosentr01,rosentr01,sln,D$JBU&uJ$9LJ7
hollima01,hollima01,sln,P@vuJjI6CxwJ&
gordode01,gordode01,mia,N8cLSZmiYRP07
stantmi03,stantmi03,mia,T1RLLtMrvUBcJ
scherma01,scherma01,was,ZuaMPGZNsw4RY
odayda01,odayda01,bal,6e5HuDLSGAW#8
papeljo01,papeljo01,phi,Zm^W8z9fX77As
burneaj01,burneaj01,pit,9u*0f4kkvqPqZ
boxbebr01,boxbebr01,tba,pbKcq3T5pmKqJ
gordoal01,gordoal01,kca,htSzeLd7lNmHY
herreke01,herreke01,kca,uW7wCM8z6aG$6
cabremi01,cabremi01,det,2mGK$k*6N0HS%
salech01,salech01,cha,GIL$hLJ17sciz
